,,b1,40000.0000,19995.0000,19995.0000,10,40010.0000
,,gmgenesis111,3.2926,0.6463,0.6463,2,5.2926
,,gugenesis111,1536.0688,763.0344,763.0344,10,1546.0688
,,gygenesis111,2580.9968,1285.4984,1285.4984,10,2590.9968
,,hagenesis111,10000.0066,4995.0033,4995.0033,10,10010.0066
,,hegenesis111,40000.0000,19995.0000,19995.0000,10,40010.0000
,,geyagenesis1,16823.5733,8406.7866,8406.7867,10,16833.5733
,,ge2agenesis1,2.4402,1.1701,1.1701,0.1,2.5402
,,gi3agenesis1,106.5694,48.2847,48.2847,10,116.5694
,,gm2qgenesis1,8.1313,3.0656,3.0657,2,10.1313
,,gq3agenesis1,20961.6925,10475.8462,10475.8463,10,20971.6925
,,gq4agenesis1,900.0361,445.0180,445.0181,10,910.0361
,,gq4qgenesis1,1157.8557,573.9278,573.9279,10,1167.8557
,,guyagenesis1,4.8027,1.4013,1.4014,2,6.8027
,,guzqgenesis1,597.2978,293.6489,293.6489,10,607.2978
,,gu2agenesis1,173.2552,81.6276,81.6276,10,183.2552
,,gu2qgenesis1,1.6624,0.7812,0.7812,0.1,1.7624
,,gu3agenesis1,33.7847,11.8923,11.8924,10,43.7847
,,gyyagenesis1,6136.8918,3063.4459,3063.4459,10,6146.8918
,,g4yagenesis1,6.0291,2.0145,2.0146,2,8.0291
,,ha3qgenesis1,2021.4324,1005.7162,1005.7162,10,2021.4324
,,ha4agenesis1,8509.4671,4249.7335,4249.7336,10,8509.4671
,,hezqgenesis1,500.9334,245.4667,245.4667,10,500.9334
,,he3agenesis1,141.9001,65.9500,65.9501,10,141.9001
,,geydogenesis,808.8714,399.4357,399.4357,10,808.8714
,,geytmgenesis,20.3530,5.1765,5.1765,10,20.3530
,,ge2digenesis,1388.4504,689.2252,689.2252,10,1388.4504
,,ge2dkgenesis,3.3000,0.6500,0.6500,2,3.3000
,,ge2dmgenesis,611.7185,300.8592,300.8593,10,611.7185
,,ge2tagenesis,105.0000,47.5000,47.5000,10,105.0000
,,ge3digenesis,201.9355,95.9677,95.9678,10,201.9355
,,ge3dmgenesis,1000.5425,495.2712,495.2713,10,1000.5425
,,ge3tagenesis,9.9905,3.9952,3.9953,2,9.9905
,,ge3tegenesis,500.0000,245.0000,245.0000,10,500.0000
,,ge4dggenesis,3.0679,0.5339,0.5340,2,3.0679
,,ge4dogenesis,168.0305,79.0152,79.0153,10,168.0305
,,ge4dsgenesis,378.1324,184.0662,184.0662,10,378.1324
,,ge4tmgenesis,3.0346,0.5173,0.5173,2,3.0346
,,giydggenesis,4639.7513,2314.8756,2314.8757,10,4639.7513
,,giydmgenesis,36.3565,13.1782,13.1783,10,36.3565
,,giytigenesis,2.1876,1.0438,1.0438,0.1,2.1876
,,gizdogenesis,10078.5738,5034.2869,5034.2869,10,10078.5738
,,giztagenesis,9.9170,3.9585,3.9585,2,9.9170
,,giztcgenesis,400.0001,195.0000,195.0001,10,400.0001
,,giztegenesis,1432.6267,711.3133,711.3134,10,1432.6267
,,giztsgenesis,63.6460,26.8230,26.8230,10,63.6460
,,gi2tqgenesis,1.3432,0.6216,0.6216,0.1,1.3432
,,gi3dcgenesis,1.6668,0.7834,0.7834,0.1,1.6668
,,gi3degenesis,1.0001,0.4500,0.4501,0.1,1.0001
,,gi3tggenesis,11044.9001,5517.4500,5517.4501,10,11044.9001
,,gi4tagenesis,28137.0502,14063.5251,14063.5251,10,28137.0502
,,gi4tkgenesis,2097.8836,1043.9418,1043.9418,10,2097.8836
,,gi4tmgenesis,4199.9808,2094.9904,2094.9904,10,4199.9808
,,gmydagenesis,2024.4926,1007.2463,1007.2463,10,2024.4926
,,gmydcgenesis,20000.3429,9995.1714,9995.1715,10,20000.3429
,,gmydigenesis,477.1954,233.5977,233.5977,10,477.1954
,,gmydqgenesis,415.9067,202.9533,202.9534,10,415.9067
,,gmydsgenesis,560.0001,275.0000,275.0001,10,560.0001
,,gmytegenesis,17487.1604,8738.5802,8738.5802,10,17487.1604
,,gmzdcgenesis,2009.0487,999.5243,999.5244,10,2009.0487
,,gmzdsgenesis,17.9448,3.9724,3.9724,10,17.9448
,,gmztsgenesis,1.7001,0.8000,0.8001,0.1,1.7001
,,gm2dqgenesis,26.8358,8.4179,8.4179,10,26.8358
,,gm2dsgenesis,27.1039,8.5519,8.5520,10,27.1039
,,gm2tcgenesis,1.1714,0.5357,0.5357,0.1,1.1714
,,gm2tigenesis,2.2689,1.0844,1.0845,0.1,2.2689
,,gm3dkgenesis,40000.0000,19995.0000,19995.0000,10,40000.0000
,,gm3dsgenesis,1.9241,0.9120,0.9121,0.1,1.9241
,,gm3tggenesis,356.2522,173.1261,173.1261,10,356.2522
,,gm3togenesis,104.6810,47.3405,47.3405,10,104.6810
,,gm4dogenesis,100.5001,45.2500,45.2501,10,100.5001
,,gqydggenesis,1.2241,0.5620,0.5621,0.1,1.2241
,,gqydmgenesis,4131.2865,2060.6432,2060.6433,10,4131.2865
,,gqzdagenesis,10359.5964,5174.7982,5174.7982,10,10359.5964
,,gqzdegenesis,804.0785,397.0392,397.0393,10,804.0785
,,gqzdggenesis,1001.9742,495.9871,495.9871,10,1001.9742
,,gqzdqgenesis,2300.3365,1145.1682,1145.1683,10,2300.3365
,,gqzdsgenesis,649.0560,319.5280,319.5280,10,649.0560
,,gqztegenesis,8380.8190,4185.4095,4185.4095,10,8380.8190
,,gq2tggenesis,52.5512,21.2756,21.2756,10,52.5512
,,gq2tsgenesis,40000.0000,19995.0000,19995.0000,10,40000.0000
,,gq3dggenesis,13.5037,1.7518,1.7519,10,13.5037
,,gq3digenesis,224.8555,107.4277,107.4278,10,224.8555
,,gq3tegenesis,384.6151,187.3075,187.3076,10,384.6151
,,gq3tqgenesis,5223.4679,2606.7339,2606.7340,10,5223.4679
,,gq4dggenesis,310.4901,150.2450,150.2451,10,310.4901
,,gq4digenesis,74.4691,32.2345,32.2346,10,74.4691
,,gq4dqgenesis,55.5030,22.7515,22.7515,10,55.5030
,,gq4tegenesis,5.3601,1.6800,1.6801,2,5.3601
,,guydegenesis,1.5834,0.7417,0.7417,0.1,1.5834
,,guydigenesis,110.0818,50.0409,50.0409,10,110.0818
,,guydqgenesis,160.8371,75.4185,75.4186,10,160.8371
,,guytegenesis,750.0200,370.0100,370.0100,10,750.0200
